2023-11-21 10:01:57 WARN  NativeCodeLoader:62 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2023-11-21 10:01:57 INFO  SparkContext:54 - Running Spark version 2.3.1
2023-11-21 10:01:57 INFO  SparkContext:54 - Submitted application: My Driver
2023-11-21 10:01:57 INFO  SecurityManager:54 - Changing view acls to: sumitjh
2023-11-21 10:01:57 INFO  SecurityManager:54 - Changing modify acls to: sumitjh
2023-11-21 10:01:57 INFO  SecurityManager:54 - Changing view acls groups to: 
2023-11-21 10:01:57 INFO  SecurityManager:54 - Changing modify acls groups to: 
2023-11-21 10:01:57 INFO  SecurityManager:54 - SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(sumitjh); groups with view permissions: Set(); users  with modify permissions: Set(sumitjh); groups with modify permissions: Set()
2023-11-21 10:01:57 INFO  Utils:54 - Successfully started service 'sparkDriver' on port 35868.
2023-11-21 10:01:57 INFO  SparkEnv:54 - Registering MapOutputTracker
2023-11-21 10:01:57 INFO  SparkEnv:54 - Registering BlockManagerMaster
2023-11-21 10:01:57 INFO  BlockManagerMasterEndpoint:54 - Using org.apache.spark.storage.DefaultTopologyMapper for getting topology information
2023-11-21 10:01:57 INFO  BlockManagerMasterEndpoint:54 - BlockManagerMasterEndpoint up
2023-11-21 10:01:57 INFO  DiskBlockManager:54 - Created local directory at /tmp/blockmgr-a20fa34d-0997-4a1c-ab49-916e36f3a0d3
2023-11-21 10:01:57 INFO  MemoryStore:54 - MemoryStore started with capacity 366.3 MB
2023-11-21 10:01:57 INFO  SparkEnv:54 - Registering OutputCommitCoordinator
2023-11-21 10:01:57 INFO  log:192 - Logging initialized @1343ms
2023-11-21 10:01:57 INFO  Server:346 - jetty-9.3.z-SNAPSHOT
2023-11-21 10:01:57 INFO  Server:414 - Started @1411ms
2023-11-21 10:01:57 INFO  AbstractConnector:278 - Started ServerConnector@35293c05{HTTP/1.1,[http/1.1]}{0.0.0.0:4040}
2023-11-21 10:01:57 INFO  Utils:54 - Successfully started service 'SparkUI' on port 4040.
2023-11-21 10:01:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@5707c1cb{/jobs,null,AVAILABLE,@Spark}
2023-11-21 10:01:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@702ed190{/jobs/json,null,AVAILABLE,@Spark}
2023-11-21 10:01:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@173b9122{/jobs/job,null,AVAILABLE,@Spark}
2023-11-21 10:01:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@7646731d{/jobs/job/json,null,AVAILABLE,@Spark}
2023-11-21 10:01:58 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@70e29e14{/stages,null,AVAILABLE,@Spark}
2023-11-21 10:01:58 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@3b1bb3ab{/stages/json,null,AVAILABLE,@Spark}
2023-11-21 10:01:58 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@5a4bef8{/stages/stage,null,AVAILABLE,@Spark}
2023-11-21 10:01:58 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@42a9a63e{/stages/stage/json,null,AVAILABLE,@Spark}
2023-11-21 10:01:58 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@62da83ed{/stages/pool,null,AVAILABLE,@Spark}
2023-11-21 10:01:58 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@5d8445d7{/stages/pool/json,null,AVAILABLE,@Spark}
2023-11-21 10:01:58 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@37d80fe7{/storage,null,AVAILABLE,@Spark}
2023-11-21 10:01:58 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@384fc774{/storage/json,null,AVAILABLE,@Spark}
2023-11-21 10:01:58 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@e3cee7b{/storage/rdd,null,AVAILABLE,@Spark}
2023-11-21 10:01:58 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@71e9a896{/storage/rdd/json,null,AVAILABLE,@Spark}
2023-11-21 10:01:58 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@6b9267b{/environment,null,AVAILABLE,@Spark}
2023-11-21 10:01:58 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@408b35bf{/environment/json,null,AVAILABLE,@Spark}
2023-11-21 10:01:58 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@29ad44e3{/executors,null,AVAILABLE,@Spark}
2023-11-21 10:01:58 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@15bcf458{/executors/json,null,AVAILABLE,@Spark}
2023-11-21 10:01:58 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@5af9926a{/executors/threadDump,null,AVAILABLE,@Spark}
2023-11-21 10:01:58 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@43c67247{/executors/threadDump/json,null,AVAILABLE,@Spark}
2023-11-21 10:01:58 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@fac80{/static,null,AVAILABLE,@Spark}
2023-11-21 10:01:58 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@615f972{/,null,AVAILABLE,@Spark}
2023-11-21 10:01:58 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@285f09de{/api,null,AVAILABLE,@Spark}
2023-11-21 10:01:58 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@48e64352{/jobs/job/kill,null,AVAILABLE,@Spark}
2023-11-21 10:01:58 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@7249dadf{/stages/stage/kill,null,AVAILABLE,@Spark}
2023-11-21 10:01:58 INFO  SparkUI:54 - Bound SparkUI to 0.0.0.0, and started at http://cssmpi11h.uwb.edu:4040
2023-11-21 10:01:58 INFO  SparkContext:54 - Added JAR file:/home/NETID/sumitjh/Spark/MyClass.jar at spark://cssmpi11h.uwb.edu:35868/jars/MyClass.jar with timestamp 1700589718116
2023-11-21 10:01:58 INFO  Executor:54 - Starting executor ID driver on host localhost
2023-11-21 10:01:58 INFO  Utils:54 - Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 39057.
2023-11-21 10:01:58 INFO  NettyBlockTransferService:54 - Server created on cssmpi11h.uwb.edu:39057
